,縣市,行政區,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,0,0.0,0,117,20181124-172409
1,臺北市,信義區,0,0.0,0,142,20181124-172409
2,臺北市,大安區,0,0.0,0,188,20181124-172409
3,臺北市,中山區,0,0.0,0,133,20181124-172409
4,臺北市,中正區,0,0.0,0,96,20181124-172409
5,臺北市,大同區,0,0.0,0,82,20181124-172410
6,臺北市,萬華區,0,0.0,0,117,20181124-172410
7,臺北市,文山區,0,0.0,0,162,20181124-172410
8,臺北市,南港區,0,0.0,0,72,20181124-172410
9,臺北市,內湖區,0,0.0,0,150,20181124-172410
10,臺北市,士林區,0,0.0,0,163,20181124-172411
11,臺北市,北投區,0,0.0,0,141,20181124-172411
12,新北市,板橋區,0,0.0,0,338,20181124-172411
13,新北市,三重區,0,0.0,0,235,20181124-172411
14,新北市,中和區,108,46.96,1,244,20181124-172411
15,新北市,永和區,74,14.89,1,138,20181124-172412
16,新北市,新莊區,0,0.0,0,253,20181124-172412
17,新北市,新店區,0,0.0,0,176,20181124-172412
18,新北市,樹林區,0,0.0,0,111,20181124-172412
19,新北市,鶯歌區,0,0.0,0,50,20181124-172413
20,新北市,三峽區,96,46.15,1,70,20181124-172413
21,新北市,淡水區,0,0.0,0,96,20181124-172413
22,新北市,汐止區,0,0.0,0,111,20181124-172413
23,新北市,瑞芳區,0,0.0,0,46,20181124-172413
24,新北市,土城區,0,0.0,0,142,20181124-172414
25,新北市,蘆洲區,0,0.0,0,104,20181124-172414
26,新北市,五股區,0,0.0,0,48,20181124-172414
27,新北市,泰山區,0,0.0,0,47,20181124-172414
28,新北市,林口區,0,0.0,0,62,20181124-172415
29,新北市,深坑區,0,0.0,0,16,20181124-172415
30,新北市,石碇區,0,0.0,0,13,20181124-172415
31,新北市,坪林區,88,44.44,1,10,20181124-172415
32,新北市,三芝區,107,50.23,1,18,20181124-172415
33,新北市,石門區,75,37.88,1,10,20181124-172416
34,新北市,八里區,0,0.0,0,20,20181124-172416
35,新北市,平溪區,304,42.28,5,12,20181124-172416
36,新北市,雙溪區,868,45.18,8,17,20181124-172416
37,新北市,貢寮區,525,57.07,4,18,20181124-172417
38,新北市,金山區,205,44.09,2,19,20181124-172417
39,新北市,萬里區,151,58.53,1,16,20181124-172417
40,新北市,烏來區,0,0.0,0,6,20181124-172418
41,桃園市,桃園區,0,0.0,0,216,20181124-172418
42,桃園市,中壢區,0,0.0,0,210,20181124-172418
43,桃園市,大溪區,0,0.0,0,59,20181124-172419
44,桃園市,楊梅區,0,0.0,0,82,20181124-172419
45,桃園市,蘆竹區,0,0.0,0,76,20181124-172419
46,桃園市,大園區,0,0.0,0,50,20181124-172419
47,桃園市,龜山區,0,0.0,0,78,20181124-172420
48,桃園市,八德區,0,0.0,0,101,20181124-172420
49,桃園市,龍潭區,0,0.0,0,64,20181124-172420
50,桃園市,平鎮區,0,0.0,0,125,20181124-172420
51,桃園市,新屋區,0,0.0,0,30,20181124-172420
52,桃園市,觀音區,0,0.0,0,41,20181124-172421
53,桃園市,復興區,0,0.0,0,10,20181124-172421
54,臺中市,中區,0,0.0,0,12,20181124-172421
55,臺中市,東區,0,0.0,0,49,20181124-172421
56,臺中市,南區,0,0.0,0,74,20181124-172421
