,縣市,行政區,候選人,得票數,得票率,已送投開票所數,應送投開票所數,時間
0,臺北市,松山區,1,398,0.4,110,117,20181124-222207
1,臺北市,松山區,2,43331,43.38,110,117,20181124-222207
2,臺北市,松山區,3,16317,16.34,110,117,20181124-222207
3,臺北市,松山區,4,39440,39.49,110,117,20181124-222207
4,臺北市,松山區,5,396,0.4,110,117,20181124-222207
5,臺北市,信義區,1,399,0.41,114,142,20181124-222207
6,臺北市,信義區,2,43166,44.24,114,142,20181124-222207
7,臺北市,信義區,3,15771,16.16,114,142,20181124-222207
8,臺北市,信義區,4,37845,38.78,114,142,20181124-222207
9,臺北市,信義區,5,396,0.41,114,142,20181124-222207
10,臺北市,大安區,1,392,0.38,126,188,20181124-222208
11,臺北市,大安區,2,47214,45.46,126,188,20181124-222208
12,臺北市,大安區,3,15551,14.97,126,188,20181124-222208
13,臺北市,大安區,4,40267,38.77,126,188,20181124-222208
14,臺北市,大安區,5,435,0.42,126,188,20181124-222208
15,臺北市,中山區,1,447,0.39,126,133,20181124-222208
16,臺北市,中山區,2,43998,38.3,126,133,20181124-222208
17,臺北市,中山區,3,22229,19.35,126,133,20181124-222208
18,臺北市,中山區,4,47737,41.55,126,133,20181124-222208
19,臺北市,中山區,5,467,0.41,126,133,20181124-222208
20,臺北市,中正區,1,323,0.45,85,96,20181124-222208
21,臺北市,中正區,2,29724,41.72,85,96,20181124-222208
22,臺北市,中正區,3,11183,15.7,85,96,20181124-222208
23,臺北市,中正區,4,29676,41.66,85,96,20181124-222208
24,臺北市,中正區,5,332,0.47,85,96,20181124-222208
25,臺北市,大同區,1,263,0.38,81,82,20181124-222210
26,臺北市,大同區,2,20502,29.73,81,82,20181124-222210
27,臺北市,大同區,3,16665,24.16,81,82,20181124-222210
28,臺北市,大同區,4,31199,45.24,81,82,20181124-222210
29,臺北市,大同區,5,335,0.49,81,82,20181124-222210
30,臺北市,萬華區,1,424,0.41,116,117,20181124-222210
31,臺北市,萬華區,2,38371,37.06,116,117,20181124-222210
32,臺北市,萬華區,3,21235,20.51,116,117,20181124-222210
33,臺北市,萬華區,4,43038,41.57,116,117,20181124-222210
34,臺北市,萬華區,5,463,0.45,116,117,20181124-222210
35,臺北市,文山區,1,402,0.48,97,162,20181124-222211
36,臺北市,文山區,2,39536,47.03,97,162,20181124-222211
37,臺北市,文山區,3,11211,13.34,97,162,20181124-222211
38,臺北市,文山區,4,32494,38.65,97,162,20181124-222211
39,臺北市,文山區,5,427,0.51,97,162,20181124-222211
40,臺北市,南港區,1,287,0.43,72,72,20181124-222211
41,臺北市,南港區,2,26282,39.45,72,72,20181124-222211
42,臺北市,南港區,3,10830,16.26,72,72,20181124-222211
43,臺北市,南港區,4,28896,43.37,72,72,20181124-222211
44,臺北市,南港區,5,325,0.49,72,72,20181124-222211
45,臺北市,內湖區,1,515,0.36,143,150,20181124-222211
46,臺北市,內湖區,2,58615,41.0,143,150,20181124-222211
47,臺北市,內湖區,3,20702,14.48,143,150,20181124-222211
48,臺北市,內湖區,4,62532,43.74,143,150,20181124-222211
49,臺北市,內湖區,5,603,0.42,143,150,20181124-222211
50,臺北市,士林區,1,214,0.34,71,163,20181124-222211
51,臺北市,士林區,2,22891,35.92,71,163,20181124-222211
52,臺北市,士林區,3,14074,22.08,71,163,20181124-222211
53,臺北市,士林區,4,26296,41.26,71,163,20181124-222211
54,臺北市,士林區,5,261,0.41,71,163,20181124-222211
55,臺北市,北投區,1,353,0.39,95,141,20181124-222211
56,臺北市,北投區,2,35001,39.12,95,141,20181124-222211
57,臺北市,北投區,3,16377,18.3,95,141,20181124-222211
58,臺北市,北投區,4,37364,41.76,95,141,20181124-222211
59,臺北市,北投區,5,377,0.42,95,141,20181124-222211
60,新北市,板橋區,1,101756,46.08,269,338,20181124-222212
61,新北市,板橋區,2,119075,53.92,269,338,20181124-222212
62,新北市,三重區,1,68475,50.22,166,235,20181124-222212
63,新北市,三重區,2,67880,49.78,166,235,20181124-222212
64,新北市,中和區,1,73649,36.64,225,244,20181124-222212
65,新北市,中和區,2,127340,63.36,225,244,20181124-222212
66,新北市,永和區,1,31089,32.67,113,138,20181124-222212
67,新北市,永和區,2,64081,67.33,113,138,20181124-222212
68,新北市,新莊區,1,70571,48.48,179,253,20181124-222212
69,新北市,新莊區,2,74997,51.52,179,253,20181124-222212
70,新北市,新店區,1,44688,31.39,159,176,20181124-222213
71,新北市,新店區,2,97681,68.61,159,176,20181124-222213
72,新北市,樹林區,1,33389,46.11,91,111,20181124-222213
73,新北市,樹林區,2,39022,53.89,91,111,20181124-222213
74,新北市,鶯歌區,1,19922,46.65,49,50,20181124-222213
75,新北市,鶯歌區,2,22786,53.35,49,50,20181124-222213
76,新北市,三峽區,1,23653,42.64,70,70,20181124-222213
77,新北市,三峽區,2,31822,57.36,70,70,20181124-222213
78,新北市,淡水區,1,20190,41.13,61,96,20181124-222214
79,新北市,淡水區,2,28899,58.87,61,96,20181124-222214
80,新北市,汐止區,1,24325,39.4,71,111,20181124-222214
