,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數
0,7,臺北市,松山區,0,0,0,0,0,0,0,0,0,117
1,7,臺北市,信義區,0,0,0,0,0,0,0,0,0,142
2,7,臺北市,大安區,0,0,0,0,0,0,0,0,0,188
3,7,臺北市,中山區,0,0,0,0,0,0,0,0,0,133
4,7,臺北市,中正區,0,0,0,0,0,0,0,0,0,96
5,7,臺北市,大同區,0,0,0,0,0,0,0,0,0,82
6,7,臺北市,萬華區,0,0,0,0,0,0,0,0,0,117
7,7,臺北市,文山區,0,0,0,0,0,0,0,0,0,162
8,7,臺北市,南港區,0,0,0,0,0,0,0,0,0,72
9,7,臺北市,內湖區,0,0,0,0,0,0,0,0,0,150
10,7,臺北市,士林區,0,0,0,0,0,0,0,0,0,163
11,7,臺北市,北投區,0,0,0,0,0,0,0,0,0,141
12,7,新北市,板橋區,0,0,0,0,0,0,0,0,0,338
13,7,新北市,三重區,0,0,0,0,0,0,0,0,0,235
14,7,新北市,中和區,0,0,0,0,0,0,0,0,0,244
15,7,新北市,永和區,0,0,0,0,0,0,0,0,0,138
16,7,新北市,新莊區,0,0,0,0,0,0,0,0,0,253
17,7,新北市,新店區,0,0,0,0,0,0,0,0,0,176
18,7,新北市,樹林區,0,0,0,0,0,0,0,0,0,111
19,7,新北市,鶯歌區,0,0,0,0,0,0,0,0,0,50
20,7,新北市,三峽區,0,0,0,0,0,0,0,0,0,70
21,7,新北市,淡水區,0,0,0,0,0,0,0,0,0,96
22,7,新北市,汐止區,0,0,0,0,0,0,0,0,0,111
23,7,新北市,瑞芳區,0,0,0,0,0,0,0,0,0,46
24,7,新北市,土城區,0,0,0,0,0,0,0,0,0,142
25,7,新北市,蘆洲區,0,0,0,0,0,0,0,0,0,104
26,7,新北市,五股區,0,0,0,0,0,0,0,0,0,48
27,7,新北市,泰山區,0,0,0,0,0,0,0,0,0,47
28,7,新北市,林口區,0,0,0,0,0,0,0,0,0,62
29,7,新北市,深坑區,0,0,0,0,0,0,0,0,0,16
30,7,新北市,石碇區,0,0,0,0,0,0,0,0,0,13
31,7,新北市,坪林區,0,0,0,0,0,0,0,0,0,10
32,7,新北市,三芝區,0,0,0,0,0,0,0,0,0,18
33,7,新北市,石門區,0,0,0,0,0,0,0,0,0,10
34,7,新北市,八里區,0,0,0,0,0,0,0,0,0,20
35,7,新北市,平溪區,0,0,0,0,0,0,0,0,0,12
36,7,新北市,雙溪區,0,0,0,0,0,0,0,0,0,17
37,7,新北市,貢寮區,0,0,0,0,0,0,0,0,0,18
38,7,新北市,金山區,0,0,0,0,0,0,0,0,0,19
39,7,新北市,萬里區,0,0,0,0,0,0,0,0,0,16
40,7,新北市,烏來區,0,0,0,0,0,0,0,0,0,6
41,7,桃園市,桃園區,0,0,0,0,0,0,0,0,0,216
42,7,桃園市,中壢區,0,0,0,0,0,0,0,0,0,210
43,7,桃園市,大溪區,0,0,0,0,0,0,0,0,0,59
44,7,桃園市,楊梅區,0,0,0,0,0,0,0,0,0,82
45,7,桃園市,蘆竹區,0,0,0,0,0,0,0,0,0,76
46,7,桃園市,大園區,0,0,0,0,0,0,0,0,0,50
47,7,桃園市,龜山區,0,0,0,0,0,0,0,0,0,78
48,7,桃園市,八德區,0,0,0,0,0,0,0,0,0,101
49,7,桃園市,龍潭區,0,0,0,0,0,0,0,0,0,64
50,7,桃園市,平鎮區,0,0,0,0,0,0,0,0,0,125
51,7,桃園市,新屋區,0,0,0,0,0,0,0,0,0,30
52,7,桃園市,觀音區,0,0,0,0,0,0,0,0,0,41
53,7,桃園市,復興區,0,0,0,0,0,0,0,0,0,10
54,7,臺中市,中區,0,0,0,0,0,0,0,0,0,12
55,7,臺中市,東區,0,0,0,0,0,0,0,0,0,49
56,7,臺中市,南區,0,0,0,0,0,0,0,0,0,74
57,7,臺中市,西區,0,0,0,0,0,0,0,0,0,66
58,7,臺中市,北區,0,0,0,0,0,0,0,0,0,87
59,7,臺中市,西屯區,0,0,0,0,0,0,0,0,0,120
60,7,臺中市,南屯區,0,0,0,0,0,0,0,0,0,101
61,7,臺中市,北屯區,0,0,0,0,0,0,0,0,0,137
62,7,臺中市,豐原區,0,0,0,0,0,0,0,0,0,88
63,7,臺中市,東勢區,0,0,0,0,0,0,0,0,0,39
64,7,臺中市,大甲區,0,0,0,0,0,0,0,0,0,54
65,7,臺中市,清水區,0,0,0,0,0,0,0,0,0,59
66,7,臺中市,沙鹿區,0,0,0,0,0,0,0,0,0,53
67,7,臺中市,梧棲區,0,0,0,0,0,0,0,0,0,36
68,7,臺中市,后里區,0,0,0,0,0,0,0,0,0,37
69,7,臺中市,神岡區,0,0,0,0,0,0,0,0,0,42
70,7,臺中市,潭子區,0,0,0,0,0,0,0,0,0,55
71,7,臺中市,大雅區,0,0,0,0,0,0,0,0,0,46
72,7,臺中市,新社區,0,0,0,0,0,0,0,0,0,23
73,7,臺中市,石岡區,0,0,0,0,0,0,0,0,0,10
74,7,臺中市,外埔區,0,0,0,0,0,0,0,0,0,20
75,7,臺中市,大安區,0,0,0,0,0,0,0,0,0,16
