,案號,縣市,行政區,同意,不同意,有效,無效,投票數,投票權人數,投票率,有效同意票數對投票權人數百分比,已送投開票所數,應送投開票所數,時間
0,7,臺北市,松山區,0,0,0,0,0,0,0,0,0,117,20181124-173537
1,7,臺北市,信義區,0,0,0,0,0,0,0,0,0,142,20181124-173537
2,7,臺北市,大安區,0,0,0,0,0,0,0,0,0,188,20181124-173537
3,7,臺北市,中山區,0,0,0,0,0,0,0,0,0,133,20181124-173537
4,7,臺北市,中正區,0,0,0,0,0,0,0,0,0,96,20181124-173538
5,7,臺北市,大同區,0,0,0,0,0,0,0,0,0,82,20181124-173538
6,7,臺北市,萬華區,0,0,0,0,0,0,0,0,0,117,20181124-173538
7,7,臺北市,文山區,0,0,0,0,0,0,0,0,0,162,20181124-173538
8,7,臺北市,南港區,0,0,0,0,0,0,0,0,0,72,20181124-173538
9,7,臺北市,內湖區,0,0,0,0,0,0,0,0,0,150,20181124-173539
10,7,臺北市,士林區,0,0,0,0,0,0,0,0,0,163,20181124-173539
11,7,臺北市,北投區,0,0,0,0,0,0,0,0,0,141,20181124-173539
12,7,新北市,板橋區,0,0,0,0,0,0,0,0,0,338,20181124-173539
13,7,新北市,三重區,0,0,0,0,0,0,0,0,0,235,20181124-173539
14,7,新北市,中和區,0,0,0,0,0,0,0,0,0,244,20181124-173540
15,7,新北市,永和區,0,0,0,0,0,0,0,0,0,138,20181124-173540
16,7,新北市,新莊區,0,0,0,0,0,0,0,0,0,253,20181124-173540
17,7,新北市,新店區,0,0,0,0,0,0,0,0,0,176,20181124-173540
18,7,新北市,樹林區,0,0,0,0,0,0,0,0,0,111,20181124-173540
19,7,新北市,鶯歌區,0,0,0,0,0,0,0,0,0,50,20181124-173541
20,7,新北市,三峽區,0,0,0,0,0,0,0,0,0,70,20181124-173541
21,7,新北市,淡水區,0,0,0,0,0,0,0,0,0,96,20181124-173541
22,7,新北市,汐止區,0,0,0,0,0,0,0,0,0,111,20181124-173541
23,7,新北市,瑞芳區,0,0,0,0,0,0,0,0,0,46,20181124-173541
24,7,新北市,土城區,0,0,0,0,0,0,0,0,0,142,20181124-173542
25,7,新北市,蘆洲區,0,0,0,0,0,0,0,0,0,104,20181124-173542
26,7,新北市,五股區,0,0,0,0,0,0,0,0,0,48,20181124-173542
27,7,新北市,泰山區,0,0,0,0,0,0,0,0,0,47,20181124-173542
28,7,新北市,林口區,0,0,0,0,0,0,0,0,0,62,20181124-173543
29,7,新北市,深坑區,0,0,0,0,0,0,0,0,0,16,20181124-173543
30,7,新北市,石碇區,0,0,0,0,0,0,0,0,0,13,20181124-173543
31,7,新北市,坪林區,0,0,0,0,0,0,0,0,0,10,20181124-173543
32,7,新北市,三芝區,0,0,0,0,0,0,0,0,0,18,20181124-173543
33,7,新北市,石門區,0,0,0,0,0,0,0,0,0,10,20181124-173544
34,7,新北市,八里區,0,0,0,0,0,0,0,0,0,20,20181124-173544
35,7,新北市,平溪區,0,0,0,0,0,0,0,0,0,12,20181124-173544
36,7,新北市,雙溪區,0,0,0,0,0,0,0,0,0,17,20181124-173545
37,7,新北市,貢寮區,0,0,0,0,0,0,0,0,0,18,20181124-173545
38,7,新北市,金山區,0,0,0,0,0,0,0,0,0,19,20181124-173545
