,no,city,district,url
0,7,臺北市,松山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000100000000.html
1,7,臺北市,信義區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000200000000.html
2,7,臺北市,大安區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000300000000.html
3,7,臺北市,中山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000400000000.html
4,7,臺北市,中正區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000500000000.html
5,7,臺北市,大同區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000600000000.html
6,7,臺北市,萬華區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000700000000.html
7,7,臺北市,文山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000800000000.html
8,7,臺北市,南港區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000000900000000.html
9,7,臺北市,內湖區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000001000000000.html
10,7,臺北市,士林區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000001100000000.html
11,7,臺北市,北投區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/63000001200000000.html
12,7,新北市,板橋區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000100000000.html
13,7,新北市,三重區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000200000000.html
14,7,新北市,中和區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000300000000.html
15,7,新北市,永和區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000400000000.html
16,7,新北市,新莊區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000500000000.html
17,7,新北市,新店區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000600000000.html
18,7,新北市,樹林區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000700000000.html
19,7,新北市,鶯歌區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000800000000.html
20,7,新北市,三峽區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000000900000000.html
21,7,新北市,淡水區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001000000000.html
22,7,新北市,汐止區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001100000000.html
23,7,新北市,瑞芳區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001200000000.html
24,7,新北市,土城區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001300000000.html
25,7,新北市,蘆洲區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001400000000.html
26,7,新北市,五股區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001500000000.html
27,7,新北市,泰山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001600000000.html
28,7,新北市,林口區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001700000000.html
29,7,新北市,深坑區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001800000000.html
30,7,新北市,石碇區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000001900000000.html
31,7,新北市,坪林區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002000000000.html
32,7,新北市,三芝區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002100000000.html
33,7,新北市,石門區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002200000000.html
34,7,新北市,八里區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002300000000.html
35,7,新北市,平溪區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002400000000.html
36,7,新北市,雙溪區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002500000000.html
37,7,新北市,貢寮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002600000000.html
38,7,新北市,金山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002700000000.html
39,7,新北市,萬里區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002800000000.html
40,7,新北市,烏來區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/65000002900000000.html
41,7,桃園市,桃園區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000100000000.html
42,7,桃園市,中壢區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000200000000.html
43,7,桃園市,大溪區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000300000000.html
44,7,桃園市,楊梅區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000400000000.html
45,7,桃園市,蘆竹區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000500000000.html
46,7,桃園市,大園區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000600000000.html
47,7,桃園市,龜山區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000700000000.html
48,7,桃園市,八德區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000800000000.html
49,7,桃園市,龍潭區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000000900000000.html
50,7,桃園市,平鎮區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000001000000000.html
51,7,桃園市,新屋區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000001100000000.html
52,7,桃園市,觀音區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000001200000000.html
53,7,桃園市,復興區,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/68000001300000000.html
