107年臺北市市長選舉候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
行政區別,村里別,投開票所別,吳蕚洋,丁守中,姚文智,柯文哲,李錫錕,有效票數,無效票數,投票數,已領未投票數,發出票數,用餘票數,選舉人數(原領票數),投票率
　北投區,,,499,"52,445","24,586","56,096",578,"134,204","1,104","135,308",12,"135,320","71,723","207,043",65.35
　　,建民里,1,4,338,196,316,8,862,9,871,0,871,417,"1,288",67.62
　　,建民里,2,2,326,243,412,5,988,11,999,0,999,363,"1,362",73.35
　　,建民里,3,2,247,144,306,3,702,9,711,0,711,328,"1,039",68.43
　　,文林里,4,1,282,177,307,8,775,4,779,0,779,396,"1,175",66.30
　　,文林里,5,5,315,183,378,5,886,3,889,1,890,399,"1,289",68.97
　　,文林里,6,3,306,194,340,4,847,2,849,0,849,371,"1,220",69.59
　　,石牌里,7,0,348,214,478,5,"1,045",2,"1,047",0,"1,047",491,"1,538",68.08
　　,石牌里,8,4,367,215,428,5,"1,019",11,"1,030",0,"1,030",510,"1,540",66.88
　　,石牌里,9,5,337,199,427,4,972,9,981,0,981,463,"1,444",67.94
　　,福興里,10,3,347,174,396,3,923,5,928,0,928,495,"1,423",65.21
　　,福興里,11,5,358,175,411,2,951,8,959,0,959,451,"1,410",68.01
　　,福興里,12,2,420,197,467,1,"1,087",13,"1,100",0,"1,100",467,"1,567",70.20
　　,福興里,13,0,370,172,418,5,965,6,971,1,972,507,"1,479",65.65
　　,榮光里,14,4,326,184,396,3,913,4,917,0,917,553,"1,470",62.38
　　,榮光里,15,2,386,158,422,3,971,7,978,0,978,517,"1,495",65.42
　　,榮光里,16,4,421,180,437,8,"1,050",9,"1,059",0,"1,059",538,"1,597",66.31
　　,榮光里,17,4,432,132,406,5,979,28,"1,007",0,"1,007",477,"1,484",67.86
　　,榮華里,18,3,479,189,417,3,"1,091",9,"1,100",0,"1,100",549,"1,649",66.71
　　,榮華里,19,2,440,171,446,4,"1,063",14,"1,077",0,"1,077",606,"1,683",63.99
　　,榮華里,20,4,410,174,444,3,"1,035",7,"1,042",0,"1,042",492,"1,534",67.93
　　,榮華里,21,4,413,145,403,5,970,3,973,1,974,508,"1,482",65.65
　　,裕民里,22,4,468,175,410,3,"1,060",5,"1,065",0,"1,065",610,"1,675",63.58
　　,裕民里,23,1,421,202,408,1,"1,033",9,"1,042",0,"1,042",602,"1,644",63.38
　　,裕民里,24,3,392,190,441,3,"1,029",10,"1,039",0,"1,039",617,"1,656",62.74
　　,裕民里,25,2,439,193,467,3,"1,104",8,"1,112",1,"1,113",527,"1,640",67.80
　　,振華里,26,4,468,175,450,3,"1,100",7,"1,107",0,"1,107",560,"1,667",66.41
　　,振華里,27,5,416,183,405,6,"1,015",3,"1,018",0,"1,018",537,"1,555",65.47
　　,振華里,28,0,445,207,413,2,"1,067",7,"1,074",0,"1,074",599,"1,673",64.20
　　,振華里,29,2,426,196,408,8,"1,040",4,"1,044",0,"1,044",510,"1,554",67.18
　　,永和里,30,8,451,202,418,3,"1,082",6,"1,088",0,"1,088",560,"1,648",66.02
　　,永和里,31,3,350,194,407,3,957,10,967,0,967,530,"1,497",64.60
　　,永和里,32,2,387,289,398,8,"1,084",8,"1,092",0,"1,092",493,"1,585",68.90
　　,永和里,33,2,413,172,365,7,959,4,963,0,963,496,"1,459",66.00
　　,永和里,34,2,417,200,421,3,"1,043",7,"1,050",0,"1,050",512,"1,562",67.22
　　,永欣里,35,2,468,121,405,3,999,8,"1,007",0,"1,007",614,"1,621",62.12
　　,永欣里,36,4,456,171,355,7,993,9,"1,002",0,"1,002",629,"1,631",61.43
　　,永欣里,37,1,499,170,429,2,"1,101",13,"1,114",0,"1,114",681,"1,795",62.06
　　,永欣里,38,1,409,174,468,2,"1,054",7,"1,061",0,"1,061",565,"1,626",65.25
　　,永明里,39,6,439,127,419,5,996,9,"1,005",0,"1,005",464,"1,469",68.41
　　,永明里,40,3,341,160,406,5,915,6,921,0,921,431,"1,352",68.12
　　,永明里,41,0,352,156,335,4,847,9,856,0,856,375,"1,231",69.54
　　,東華里,42,3,337,124,297,3,764,5,769,0,769,325,"1,094",70.29
　　,東華里,43,6,428,133,345,2,914,6,920,0,920,276,"1,196",76.92
　　,東華里,44,8,387,153,411,6,965,14,979,0,979,456,"1,435",68.22
　　,吉利里,45,4,422,140,379,5,950,7,957,0,957,490,"1,447",66.14
　　,吉利里,46,5,399,145,423,5,977,10,987,0,987,436,"1,423",69.36
　　,吉利里,47,3,421,140,402,4,970,11,981,0,981,446,"1,427",68.75
　　,吉利里,48,1,413,93,397,3,907,9,916,0,916,473,"1,389",65.95
　　,吉慶里,49,2,320,210,419,2,953,10,963,0,963,465,"1,428",67.44
　　,吉慶里,50,3,299,173,442,5,922,15,937,0,937,480,"1,417",66.13
　　,吉慶里,51,5,343,181,390,5,924,5,929,0,929,479,"1,408",65.98
　　,尊賢里,52,4,310,176,347,2,839,6,845,2,847,433,"1,280",66.02
　　,尊賢里,53,2,306,173,389,2,872,7,879,0,879,442,"1,321",66.54
　　,尊賢里,54,1,286,206,351,2,846,9,855,1,856,448,"1,304",65.57
　　,立賢里,55,5,372,173,433,8,991,7,998,0,998,482,"1,480",67.43
　　,立賢里,56,1,355,170,472,3,"1,001",7,"1,008",0,"1,008",563,"1,571",64.16
　　,立賢里,57,2,303,181,419,1,906,3,909,0,909,552,"1,461",62.22
　　,立農里,58,4,437,143,409,4,997,3,"1,000",0,"1,000",451,"1,451",68.92
　　,立農里,59,1,351,195,462,8,"1,017",5,"1,022",0,"1,022",561,"1,583",64.56
　　,立農里,60,1,287,179,429,1,897,3,900,0,900,589,"1,489",60.44
　　,立農里,61,4,338,182,386,5,915,13,928,0,928,490,"1,418",65.44
　　,立農里,62,6,349,170,423,2,950,5,955,0,955,587,"1,542",61.93
　　,八仙里,63,4,408,213,468,3,"1,096",4,"1,100",0,"1,100",540,"1,640",67.07
　　,八仙里,64,0,322,238,428,4,992,8,"1,000",0,"1,000",554,"1,554",64.35
