#,,,,,,,,107年直轄市長、縣（市）長選舉-各年齡層選舉人人數統計表,,,,,,,,107.11.20,,,,,,,,,,,
#年齡層,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,總計,,,20－29歲,,,30－39歲,,,40－49歲,,,50－59歲,,,60－69歲,,,70－79歲,,,80－89歲,,,90歲以上,
#性別,,,,,,,,,,,,,,,,,,,,,,,,,,,
直轄市、,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女
#縣(市),,,,,,,,,,,,,,,,,,,,,,,,,,,
總計,"19,102,502","9,387,397","9,715,105","3,140,150","1,631,593","1,508,557","3,641,555","1,823,218","1,818,337","3,684,769","1,813,305","1,871,464","3,628,347","1,783,651","1,844,696","2,902,057","1,393,509","1,508,548","1,321,356","602,113","719,243","653,772","280,766","373,006","130,496","59,242","71,254"
臺北市,"2,164,155","1,012,994","1,151,161","294,265","150,549","143,716","412,101","194,204","217,897","412,540","191,684","220,856","397,274","183,946","213,328","364,401","167,869","196,532","175,545","77,687","97,858","85,505","36,292","49,213","22,524","10,763","11,761"
新北市,"3,264,128","1,576,972","1,687,156","533,361","277,362","255,999","623,925","310,441","313,484","646,990","314,236","332,754","638,559","298,812","339,747","518,298","239,925","278,373","203,163","92,038","111,125","81,459","35,196","46,263","18,373","8,962","9,411"
桃園市,"1,732,591","850,656","881,935","311,710","161,380","150,330","366,802","181,786","185,016","353,693","173,766","179,927","320,138","155,805","164,333","232,289","109,764","122,525","93,619","41,708","51,911","44,030","20,675","23,355","10,310","5,772","4,538"
臺中市,"2,213,789","1,075,098","1,138,691","396,663","204,857","191,806","452,887","224,459","228,428","437,312","209,376","227,936","416,546","198,796","217,750","309,374","147,214","162,160","129,946","58,915","71,031","59,682","25,936","33,746","11,379","5,545","5,834"
臺南市,"1,546,862","765,330","781,532","246,300","127,977","118,323","295,748","149,447","146,301","290,516","143,606","146,910","300,585","149,250","151,335","236,497","116,915","119,582","107,695","49,210","58,485","59,231","24,793","34,438","10,290","4,132","6,158"
高雄市,"2,281,338","1,117,080","1,164,258","363,232","188,466","174,766","424,247","213,011","211,236","449,534","220,949","228,585","432,421","211,383","221,038","365,537","172,026","193,511","163,123","74,174","88,949","70,614","30,854","39,760","12,630","6,217","6,413"
新竹縣,"427,652","217,184","210,468","73,882","38,860","35,022","85,722","43,054","42,668","92,959","46,981","45,978","77,243","40,358","36,885","52,542","26,688","25,854","26,912","12,889","14,023","15,435","7,067","8,368","2,957","1,287","1,670"
苗栗縣,"446,507","229,738","216,769","75,999","40,150","35,849","83,043","43,281","39,762","80,394","41,948","38,446","83,461","43,974","39,487","64,719","33,137","31,582","34,453","16,554","17,899","20,624","9,214","11,410","3,814","1,480","2,334"
彰化縣,"1,031,222","522,014","509,208","180,102","94,079","86,023","201,286","103,702","97,584","185,167","95,583","89,584","186,612","96,456","90,156","149,711","75,443","74,268","76,436","36,118","40,318","44,504","18,178","26,326","7,404","2,455","4,949"
南投縣,"413,222","211,045","202,177","69,812","36,703","33,109","70,035","37,238","32,797","70,709","36,294","34,415","81,660","42,453","39,207","64,820","33,037","31,783","33,486","15,691","17,795","19,353","8,293","11,060","3,347","1,336","2,011"
雲林縣,"565,078","292,462","272,616","88,665","46,889","41,776","99,008","51,537","47,471","103,228","54,811","48,417","105,542","58,801","46,741","83,723","43,850","39,873","50,504","23,385","27,119","29,690","11,710","17,980","4,718","1,479","3,239"
嘉義縣,"428,649","222,563","206,086","67,933","35,794","32,139","69,294","36,889","32,405","74,241","39,117","35,124","84,725","46,985","37,740","66,364","35,015","31,349","37,777","17,378","20,399","24,320","9,976","14,344","3,995","1,409","2,586"
屏東縣,"689,393","350,681","338,712","115,280","60,397","54,883","118,352","62,270","56,082","124,585","64,061","60,524","135,524","70,371","65,153","108,771","53,798","54,973","54,401","25,515","28,886","28,260","12,397","15,863","4,220","1,872","2,348"
宜蘭縣,"373,510","187,584","185,926","65,250","34,173","31,077","64,559","33,234","31,325","67,977","34,328","33,649","72,456","36,855","35,601","55,214","27,348","27,866","28,680","13,384","15,296","16,505","7,117","9,388","2,869","1,145","1,724"
花蓮縣,"268,817","135,390","133,427","45,261","23,556","21,705","45,908","24,072","21,836","49,886","25,331","24,555","52,055","26,647","25,408","42,713","21,018","21,695","20,415","9,145","11,270","10,371","4,500","5,871","2,208","1,121","1,087"
臺東縣,"179,706","92,353","87,353","29,743","15,610","14,133","29,966","15,954","14,012","33,935","18,025","15,910","35,658","19,045","16,613","27,585","13,525","14,060","14,000","6,289","7,711","7,303","3,147","4,156","1,516",758,758
澎湖縣,"86,603","44,320","42,283","15,711","8,456","7,255","16,016","8,076","7,940","15,624","8,055","7,569","15,862","8,464","7,398","12,248","6,277","5,971","6,160","2,876","3,284","4,144","1,791","2,353",838,325,513
金門縣,"117,913","58,466","59,447","22,539","11,163","11,376","20,597","10,157","10,440","20,440","10,129","10,311","25,311","12,732","12,579","18,005","9,153","8,852","6,536","3,263","3,273","3,671","1,660","2,011",814,209,605
連江縣,"10,773","6,211","4,562","1,974","1,142",832,"2,011","1,125",886,"2,039","1,168",871,"2,251","1,381",870,"1,617",964,653,529,292,237,272,108,164,80,31,49
基隆市,"309,428","153,551","155,877","51,396","27,009","24,387","50,886","26,257","24,629","57,296","28,509","28,787","63,623","31,814","31,809","51,445","24,677","26,768","21,867","9,843","12,024","10,642","4,382","6,260","2,273","1,060","1,213"
新竹市,"338,323","164,312","174,011","54,513","28,207","26,306","71,194","34,513","36,681","74,511","36,333","38,178","60,404","29,932","30,472","44,586","20,977","23,609","20,601","8,944","11,657","10,077","4,211","5,866","2,437","1,195","1,242"
嘉義市,"212,843","101,393","111,450","36,559","18,814","17,745","37,968","18,511","19,457","41,193","19,015","22,178","40,437","19,391","21,046","31,598","14,889","16,709","15,508","6,815","8,693","8,080","3,269","4,811","1,500",689,811
